city,ANotMinority,BNotMinority,CMinority,DMinority,AMUI,BMUI,CLMI,DLMI,BID,B/xPy,HID,H/xPy,GINI,Region,PCTMIN,PCTLMI
Evansville,100%,33%,8%,25%,100%,20%,78%,70%,0.50,0.65,0.27,0.8,0.45,2,17%,36%
Bay,CITY,100%,100%,0%,0%,100%,68%,19%,67%,0.4,0.84,0.24,0.86,0.46,2,0%
,,,,,,,,,,NA,NA,NA,NA,NA,,
Saginaw,100%,96%,61%,52%,73%,96%,79%,66%,0.60,0.27,0.32,0.46,0.46,2,29%,27%
Chicago,100%,65%,58%,81%,100%,76%,49%,65%,0.81,0.11,0.62,0.27,0.53,2,54%,26%
Springfield Oh,98%,94%,14%,39%,96%,67%,69%,64%,0.51,0.54,0.3,0.66,0.44,2,20%,24%
Madison,99%,100%,1%,10%,91%,91%,50%,60%,0.13,0.62,0.43,0.59,0.47,2,13%,23%
St Joseph,82%,49%,64%,75%,100%,100%,0%,54%,0.35,0.8,0.25,0.82,0.44,2,43%,17%
Oshkosh,0%,100%,0%,0%,0%,71%,19%,45%,0.15,0.9,0.11,0.9,0.43,2,0%,13%
Racine,100%,100%,21%,38%,100%,87%,56%,41%,0.42,0.46,0.37,0.48,0.43,2,16%,9%
Duluth,100%,100%,0%,0%,100%,78%,36%,16%,0.45,0.84,0.21,0.88,0.48,2,0%,0%
Newport News,0%,84%,83%,100%,0%,0%,100%,100%,0.46,0.12,0.3,0.18,0.43,3,93%,95%
Durham,85%,72%,66%,100%,85%,70%,61%,100%,0.57,0.16,0.42,0.25,0.48,3,93%,95%
Montgomery,74%,53%,68%,99%,100%,92%,66%,99%,0.55,0.22,0.46,0.4,0.48,3,90%,95%
Columbus,73%,62%,66%,76%,100%,71%,79%,99%,0.61,0.21,0.38,0.4,0.49,3,45%,95%
Chattanooga,90%,65%,65%,76%,94%,66%,86%,97%,0.66,0.3,0.44,0.54,0.5,3,44%,95%
Jacksonville,100%,78%,46%,90%,100%,76%,51%,94%,0.63,0.21,0.31,0.53,0.47,3,74%,95%
Greensboro,100%,98%,75%,93%,100%,98%,75%,93%,0.60,0,0.53,0,0.49,3,84%,95%
Lynchburg,100%,95%,84%,100%,99%,73%,96%,100%,0.47,0.44,0.2,0.62,0.49,3,94%,97%
Louisville,100%,78%,36%,57%,100%,73%,69%,92%,0.65,0.29,0.41,0.59,0.49,3,31%,94%
Knoxville,97%,87%,30%,36%,93%,63%,75%,91%,0.52,0.5,0.31,0.69,0.5,3,15%,94%
Oklahoma City,30%,47%,0%,88%,13%,35%,0%,90%,0.53,0,0.44,0,0.47,3,70%,91%
Winston-Salem,100%,54%,84%,97%,100%,55%,76%,86%,0.58,0.2,0.5,0.29,0.51,3,91%,84%
Lexington,100%,100%,18%,41%,100%,71%,80%,85%,0.47,0.55,0.47,0.56,0.5,3,19%,84%
Miami,44%,21%,91%,99%,93%,72%,74%,85%,0.81,0.07,0.52,0.14,0.56,3,93%,83%
Charlotte,96%,92%,56%,68%,97%,95%,59%,83%,0.69,0.21,0.56,0.38,0.5,3,38%,83%
Mobile,100%,86%,39%,84%,100%,97%,23%,80%,0.69,0.13,0.38,0.34,0.5,3,64%,82%
Norfolk,94%,86%,58%,83%,91%,75%,63%,88%,0.52,0.27,0.29,0.44,0.48,3,59%,89%
Richmond Va,93%,78%,66%,90%,96%,80%,61%,87%,0.66,0.2,0.41,0.42,0.54,3,77%,88%
Tampa,100%,84%,46%,83%,100%,84%,41%,79%,0.65,0.22,0.49,0.37,0.54,3,64%,88%
Birmingham,100%,60%,75%,86%,100%,78%,73%,78%,0.69,0.16,0.51,0.38,0.5,3,67%,88%
Dallas,95%,50%,94%,87%,96%,54%,93%,74%,0.77,0.12,0.69,0.17,0.54,3,70%,74%
Macon,20%,70%,71%,91%,100%,86%,57%,73%,0.54,0.22,0.32,0.37,0.5,3,82%,68%
Augusta,100%,81%,50%,78%,100%,52%,48%,74%,0.5,0.3,0.35,0.46,0.47,3,67%,71%
New Orleans,85%,77%,49%,76%,96%,86%,45%,72%,0.66,0.21,0.35,0.48,0.57,3,65%,65%
Atlanta,100%,87%,54%,82%,100%,89%,47%,72%,0.66,0.21,0.55,0.36,0.58,3,68%,63%
Asheville,100%,96%,3%,42%,100%,84%,59%,70%,0.41,0.65,0.31,0.75,0.48,3,33%,61%
Baltimore,56%,39%,53%,69%,65%,42%,74%,69%,0.7,0.17,0.41,0.48,0.51,3,59%,53%
Wheeling,100%,100%,0%,0%,100%,100%,5%,67%,0.41,0.86,0.22,0.91,0.51,3,0%,50%
St Petersburg,100%,81%,32%,39%,100%,95%,36%,56%,0.67,0.34,0.2,0.71,0.48,3,27%,33%
Roanoke,100%,100%,24%,21%,100%,43%,70%,45%,0.59,0.41,0.38,0.65,0.46,3,21%,21%
Charleston Wv,100%,93%,5%,7%,100%,58%,14%,33%,0.46,0.68,0.23,0.78,0.53,3,15%,15%
Stockton,68%,6%,100%,100%,78%,25%,95%,100%,0.53,0.16,0.43,0.17,0.47,4,92%,100%
Oakland,99%,62%,71%,94%,99%,83%,50%,77%,0.58,0.23,0.58,0.2,0.52,4,91%,73%
San Jose,71%,63%,73%,91%,71%,89%,59%,76%,0.34,0.31,0.43,0.25,0.45,4,90%,70%
Sacramento,96%,72%,48%,54%,96%,71%,50%,67%,0.46,0.35,0.39,0.37,0.47,4,33%,44%
Portland,100%,100%,4%,0%,100%,92%,49%,21%,0.47,0.64,0.31,0.68,0.49,4,0%,0%
Fresno,65%,7%,98%,100%,100%,44%,91%,92%,0.43,0.13,0.38,0.14,0.48,4,100%,100%
Denver,100%,95%,20%,67%,100%,94%,45%,91%,0.53,0.44,0.54,0.36,0.5,4,50%,100%
Spokane,100%,100%,0%,0%,93%,85%,50%,78%,0.23,0.82,0.14,0.83,0.47,4,0%,100%
Tacoma,100%,98%,23%,47%,100%,94%,42%,73%,0.31,0.54,0.34,0.53,0.45,4,0%,100%
San Diego,100%,94%,39%,90%,99%,91%,51%,70%,0.58,0.28,0.56,0.27,0.47,4,100%,100%
Los Angeles,75%,55%,77%,88%,100%,85%,46%,59%,0.69,0.14,0.64,0.14,0.53,4,100%,100%
San Francisco,77%,22%,44%,69%,99%,91%,14%,54%,0.56,0.29,0.48,0.32,0.52,4,100%,100%
Seattle,98%,92%,50%,66%,100%,93%,31%,30%,0.6,0.43,0.36,0.56,0.48,4,100%,100%
